Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 3";"Process 1";458324;26.4229;26422922000;0;0;1.42711;1427106000;699.336;6.99336e-07;inf;inf;1687422400;192;4800
"Process 3";"Process 11";458324;77.3991;77399110000;1e-06;1000;1.43006;1430064000;344.319;3.44319e-07;2.048e+09;2.048;1531504256;128;4800
"Process 3";"Process 12";458324;71.3185;71318537000;1e-06;1000;1.69286;1692862000;113.417;1.13417e-07;2.4e+09;2.4;1531504256;128;4800
"Process 3";"Process 13";458324;72.1309;72130923000;1e-06;1000;1.69284;1692840000;113.419;1.13419e-07;2.4e+09;2.4;1531504256;128;4800
"Process 3";"Process 14";458324;67.2305;67230527000;1e-06;1000;1.69284;1692843000;113.419;1.13419e-07;2.4e+09;2.4;1531504256;128;4800
"Process 3";"Process 15";458324;61.0831;61083058000;1e-06;1000;1.42997;1429975000;413.746;4.13746e-07;2.4e+09;2.4;1531504256;128;4800
"Process 3";"Process 9";458324;89.3564;89356400000;1e-06;1000;2.18158;2181585000;88.0094;8.80094e-08;2.4e+09;2.4;1687422400;192;4800
"Process 3";"Process 7";458324;92.0071;92007081000;0;0;1.78807;1788074000;340.422;3.40422e-07;inf;inf;1687422400;192;4800
"Process 3";"Process 8";458324;92.3848;92384764000;1e-06;1000;1.49665;1496651000;221.219;2.21219e-07;2.4e+09;2.4;1687422400;192;4800
"Process 3";"Process 2";530684;20.5068;20506789000;0;0;0.595726;595726000;757.489;7.57489e-07;inf;inf;1097287104;192;51200
"Process 3";"Process 4";530684;94.3532;94353214000;1e-06;1000;1.49666;1496659000;340.232;3.40232e-07;5.12e+09;5.12;1097287104;192;51200
"Process 3";"Process 5";458324;90.9204;90920423000;0;0;1.49666;1496658000;340.237;3.40237e-07;inf;inf;1687422400;192;4800
"Process 3";"Process 6";458324;91.0935;91093536000;0;0;1.96491;1964908000;340.233;3.40233e-07;inf;inf;1687422400;192;4800
"Process 0";"Process 10";458324;28.5645;28564467000;1e-06;1000;1.47235;1472348000;556.62;5.5662e-07;2.4e+09;2.4;1687422400;192;4800
"Process 0";"Process 1";530684;58.79;58789985000;1e-06;1000;1.47227;1472274000;436.256;4.36256e-07;5.12e+09;5.12;1097287104;192;51200
"Process 0";"Process 11";458324;22.5601;22560094000;1e-06;1000;1.18901;1189007000;556.814;5.56814e-07;2.4e+09;2.4;1531504256;128;4800
"Process 0";"Process 12";458324;19.7599;19759925000;1e-06;1000;1.189;1189003000;203.935;2.03935e-07;2.4e+09;2.4;1531504256;128;4800
"Process 0";"Process 13";458324;17.0245;17024499000;1e-06;1000;1.92017;1920167000;99.9913;9.99913e-08;2.4e+09;2.4;1531504256;128;4800
"Process 0";"Process 14";458324;11.6089;11608886000;1e-06;1000;0.872221;872221000;1312.02;1.31202e-06;2.4e+09;2.4;1531504256;128;4800
"Process 0";"Process 15";458324;9.21336;9213356000;1e-06;1000;0.833387;833387000;5759.63;5.75963e-06;2.4e+09;2.4;1531504256;128;4800
"Process 0";"Process 9";458324;29.3291;29329100000;1e-06;1000;1.47226;1472262000;556.594;5.56594e-07;2.4e+09;2.4;1687422400;192;4800
"Process 0";"Process 7";458324;36.0528;36052765000;0;0;1.47229;1472292000;221.216;2.21216e-07;inf;inf;1687422400;192;4800
"Process 0";"Process 8";458324;35.7938;35793820000;1e-06;1000;1.47228;1472276000;221.234;2.21234e-07;2.4e+09;2.4;1687422400;192;4800
"Process 0";"Process 2";458324;44.8983;44898347000;0;0;1.47228;1472284000;687.918;6.87918e-07;inf;inf;1687422400;192;4800
"Process 0";"Process 3";458324;47.5496;47549578000;0;0;1.47228;1472281000;436.307;4.36307e-07;inf;inf;1687422400;192;4800
"Process 0";"Process 4";458324;51.873;51872987000;0;0;2.18933;2189326000;87.6982;8.76982e-08;inf;inf;1687422400;192;4800
"Process 0";"Process 5";458324;45.8037;45803685000;0;0;1.47228;1472280000;349.217;3.49217e-07;inf;inf;1687422400;192;4800
"Process 0";"Process 6";458324;42.5268;42526756000;0;0;2.1814;2181402000;88.0168;8.80168e-08;inf;inf;1687422400;192;4800
"Process 8";"Process 0";458324;141.871;141871051000;1e-06;1000;1.43788;1437880000;308.507;3.08507e-07;2.4e+09;2.4;1687422400;192;4800
"Process 8";"Process 10";458324;119.618;119617629000;0;0;1.43758;1437578000;275.896;2.75896e-07;inf;inf;1687422400;192;4800
"Process 8";"Process 1";458324;71.3999;71399858000;1e-06;1000;1.43462;1434618000;556.546;5.56546e-07;2.4e+09;2.4;1687422400;192;4800
"Process 8";"Process 11";458324;116.163;116162835000;0;0;1.43757;1437568000;275.89;2.7589e-07;inf;inf;1531504256;128;4800
"Process 8";"Process 12";458324;119.062;119061651000;0;0;1.43752;1437518000;275.893;2.75893e-07;inf;inf;1531504256;128;4800
"Process 8";"Process 13";458324;116.657;116657071000;0;0;1.43878;1438776000;275.966;2.75966e-07;inf;inf;1531504256;128;4800
"Process 8";"Process 14";458324;111.019;111019004000;0;0;1.43747;1437475000;492.291;4.92291e-07;inf;inf;1531504256;128;4800
"Process 8";"Process 15";458324;108.179;108178565000;0;0;2.18203;2182032000;87.9914;8.79914e-08;inf;inf;1531504256;128;4800
"Process 8";"Process 9";530684;126.668;126668492000;1e-06;1000;1.46926;1469262000;275.895;2.75895e-07;5.12e+09;5.12;1097287104;192;51200
"Process 8";"Process 7";530684;57.6306;57630554000;1e-06;1000;2.15004;2150041000;206.306;2.06306e-07;3.01176e+09;3.01176;1097287104;192;51200
"Process 8";"Process 2";458324;61.2472;61247162000;1e-06;1000;1.25459;1254589000;556.578;5.56578e-07;2.4e+09;2.4;1687422400;192;4800
"Process 8";"Process 3";458324;62.8561;62856136000;1e-06;1000;1.25459;1254589000;203.935;2.03935e-07;2.4e+09;2.4;1687422400;192;4800
"Process 8";"Process 4";458324;56.6692;56669219000;1e-06;1000;1.25459;1254590000;413.727;4.13727e-07;2.4e+09;2.4;1687422400;192;4800
"Process 8";"Process 5";458324;58.1903;58190311000;1e-06;1000;1.25459;1254590000;413.713;4.13713e-07;2.4e+09;2.4;1687422400;192;4800
"Process 8";"Process 6";458324;49.4113;49411343000;1e-06;1000;1.86831;1868308000;102.767;1.02767e-07;2.4e+09;2.4;1687422400;192;4800
"Process 14";"Process 0";458324;181.78;181780222000;1e-06;1000;1.53812;1538119000;178.132;1.78132e-07;2.4e+09;2.4;1412636096;128;4800
"Process 14";"Process 10";458324;35.3735;35373483000;0;0;1.53817;1538174000;275.822;2.75822e-07;inf;inf;1412636096;128;4800
"Process 14";"Process 1";458324;145.189;145189420000;1e-06;1000;1.56442;1564417000;238.585;2.38585e-07;2.048e+09;2.048;1412636096;128;4800
"Process 14";"Process 11";458324;28.4616;28461558000;0;0;1.18924;1189237000;275.808;2.75808e-07;inf;inf;1256717952;128;4096
"Process 14";"Process 12";458324;22.7611;22761085000;0;0;1.18924;1189242000;549.201;5.49201e-07;inf;inf;1256717952;128;4096
"Process 14";"Process 13";530684;20.6139;20613905000;0;0;1.92017;1920169000;66.6608;6.66608e-08;inf;inf;666582656;128;51200
"Process 14";"Process 15";530684;133.047;133047391000;1e-06;1000;1.5395;1539500000;2660.6;2.6606e-06;5.12e+09;5.12;666582656;128;51200
"Process 14";"Process 9";458324;62.1538;62153775000;0;0;1.5381;1538098000;205.67;2.0567e-07;inf;inf;1412636096;128;4800
"Process 14";"Process 7";458324;93.519;93518993000;1e-06;1000;1.53811;1538114000;205.669;2.05669e-07;2.4e+09;2.4;1412636096;128;4800
"Process 14";"Process 8";458324;66.1431;66143096000;0;0;1.53811;1538112000;205.668;2.05668e-07;inf;inf;1412636096;128;4800
"Process 14";"Process 2";458324;117.803;117803391000;1e-06;1000;1.53813;1538130000;178.129;1.78129e-07;1.6e+09;1.6;1412636096;128;4800
"Process 14";"Process 3";458324;110.349;110348766000;1e-06;1000;1.53813;1538127000;178.129;1.78129e-07;2.048e+09;2.048;1412636096;128;4800
"Process 14";"Process 4";458324;91.0445;91044459000;1e-06;1000;2.18702;2187024000;58.527;5.8527e-08;2.4e+09;2.4;1412636096;128;4800
"Process 14";"Process 5";458324;91.9808;91980771000;1e-06;1000;2.18205;2182048000;58.6605;5.86605e-08;2.048e+09;2.048;1412636096;128;4800
"Process 14";"Process 6";458324;89.2773;89277289000;1e-06;1000;2.18205;2182049000;58.6605;5.86605e-08;2.4e+09;2.4;1412636096;128;4800
"Process 11";"Process 0";458324;162.033;162032949000;1e-06;1000;1.51223;1512233000;178.131;1.78131e-07;2.4e+09;2.4;1412636096;128;4800
"Process 11";"Process 10";530684;28.8055;28805467000;0;0;1.51228;1512284000;549.897;5.49897e-07;inf;inf;822500800;128;51200
"Process 11";"Process 1";458324;100.056;100055956000;1e-06;1000;1.51223;1512231000;147.477;1.47477e-07;2.4e+09;2.4;1412636096;128;4800
"Process 11";"Process 12";530684;136.517;136517228000;1e-06;1000;1.51223;1512232000;397.301;3.97301e-07;5.12e+09;5.12;666582656;128;51200
"Process 11";"Process 13";458324;128.973;128972733000;0;0;1.51223;1512231000;763.45;7.6345e-07;inf;inf;1256717952;128;4096
"Process 11";"Process 14";458324;128.057;128057104000;0;0;1.51223;1512230000;368.75;3.6875e-07;inf;inf;1256717952;128;4096
"Process 11";"Process 15";458324;127.111;127111326000;0;0;1.51361;1513615000;222.725;2.22725e-07;inf;inf;1256717952;128;4096
"Process 11";"Process 9";458324;30.1392;30139227000;0;0;1.86827;1868275000;68.5124;6.85124e-08;inf;inf;1412636096;128;4800
"Process 11";"Process 7";458324;67.9385;67938527000;1e-06;1000;1.51223;1512230000;135.955;1.35955e-07;2.4e+09;2.4;1412636096;128;4800
"Process 11";"Process 8";458324;35.2299;35229860000;0;0;1.51223;1512229000;135.964;1.35964e-07;inf;inf;1412636096;128;4800
"Process 11";"Process 2";458324;83.7278;83727792000;1e-06;1000;1.51224;1512243000;147.495;1.47495e-07;2.4e+09;2.4;1412636096;128;4800
"Process 11";"Process 3";458324;82.3561;82356053000;1e-06;1000;1.51223;1512229000;135.961;1.35961e-07;2.048e+09;2.048;1412636096;128;4800
"Process 11";"Process 4";458324;78.028;78028001000;1e-06;1000;1.69284;1692841000;75.6125;7.56125e-08;2.4e+09;2.4;1412636096;128;4800
"Process 11";"Process 5";458324;81.0566;81056553000;1e-06;1000;1.69285;1692848000;75.6122;7.56122e-08;2.4e+09;2.4;1412636096;128;4800
"Process 11";"Process 6";458324;74.1836;74183554000;1e-06;1000;1.69286;1692863000;75.6116;7.56116e-08;2.4e+09;2.4;1412636096;128;4800
"Process 13";"Process 0";458324;160.604;160604131000;1e-06;1000;1.5381;1538097000;178.132;1.78132e-07;2.048e+09;2.048;1412636096;128;4800
"Process 13";"Process 10";458324;31.9591;31959074000;0;0;1.53815;1538150000;1325.59;1.32559e-06;inf;inf;1412636096;128;4800
"Process 13";"Process 1";458324;112.346;112346290000;1e-06;1000;1.53809;1538095000;321.798;3.21798e-07;2.048e+09;2.048;1412636096;128;4800
"Process 13";"Process 11";458324;18.8636;18863593000;0;0;1.18921;1189214000;505.483;5.05483e-07;inf;inf;1256717952;128;4096
"Process 13";"Process 12";530684;19.376;19375965000;0;0;1.18922;1189220000;549.899;5.49899e-07;inf;inf;666582656;128;51200
"Process 13";"Process 14";530684;131.96;131960494000;1e-06;1000;1.53809;1538095000;368.795;3.68795e-07;5.12e+09;5.12;666582656;128;51200
"Process 13";"Process 15";458324;123.076;123076008000;0;0;1.53948;1539478000;656.097;6.56097e-07;inf;inf;1256717952;128;4096
"Process 13";"Process 9";458324;31.2138;31213777000;0;0;1.53808;1538077000;270.919;2.70919e-07;inf;inf;1412636096;128;4800
