Sender;Reciever;# Messages;Sum duration [s];Sum duration [tick];Min. duration [s];Min. duration [tick];Max. duration [s];Max. duration [tick];Min. rate [B/s];Min. rate [B/tick];Max. rate [B/s];Max. rate [B/tick];Bytes sent (sum);Min. bytes sent;Max. bytes sent
"Process 4";"Process 15";99404;16.7929;16792859000;1e-06;1000;0.747273;747273000;515.881;5.15881e-07;2.4e+09;2.4;345220736;128;4800
"Process 4";"Process 9";99404;17.2912;17291217000;1e-06;1000;1.13635;1136351000;536.613;5.36613e-07;2.048e+09;2.048;373151680;192;4800
"Process 4";"Process 7";99404;16.4077;16407749000;0;0;0.747254;747254000;4373.48;4.37348e-06;inf;inf;373151680;192;4800
"Process 4";"Process 8";99404;17.8125;17812503000;1e-06;1000;0.747257;747257000;4377.96;4.37796e-06;2.048e+09;2.048;373151680;192;4800
"Process 4";"Process 2";99404;5.97526;5975259000;0;0;0.747296;747296000;600.066;6.00066e-07;inf;inf;373151680;192;4800
"Process 4";"Process 3";112364;4.62633;4626327000;0;0;0.632701;632701000;4955.48;4.95548e-06;inf;inf;1036703680;192;51200
"Process 4";"Process 5";112364;17.5649;17564858000;1e-06;1000;0.747271;747271000;5481.28;5.48128e-06;5.12e+09;5.12;1036703680;192;51200
"Process 4";"Process 6";99404;16.2873;16287309000;0;0;0.747264;747264000;4373.38;4.37338e-06;inf;inf;373151680;192;4800
"Process 1";"Process 0";112408;14.9481;14948116000;0;0;0.617176;617176000;340.977;3.40977e-07;inf;inf;1039302080;192;102400
"Process 1";"Process 10";99404;15.0641;15064120000;1e-06;1000;0.738377;738377000;545.945;5.45945e-07;2.048e+09;2.048;373151680;192;4800
"Process 1";"Process 11";99404;14.3813;14381306000;1e-06;1000;0.738379;738379000;5547.29;5.54729e-06;2.4e+09;2.4;345220736;128;4800
"Process 1";"Process 12";99404;16.2325;16232470000;1e-06;1000;0.73841;738410000;661.146;6.61146e-07;2.4e+09;2.4;345220736;128;4800
"Process 1";"Process 13";99404;12.5355;12535516000;1e-06;1000;0.617154;617154000;5610.59;5.61059e-06;2.4e+09;2.4;345220736;128;4800
"Process 1";"Process 14";99404;12.6823;12682263000;1e-06;1000;0.617153;617153000;6636.93;6.63693e-06;2.4e+09;2.4;345220736;128;4800
"Process 1";"Process 15";99404;11.0504;11050360000;1e-06;1000;0.617156;617156000;632.024;6.32024e-07;2.4e+09;2.4;345220736;128;4800
"Process 1";"Process 9";99404;16.3057;16305722000;1e-06;1000;1.06001;1060008000;811.829;8.11829e-07;2.4e+09;2.4;373151680;192;4800
"Process 1";"Process 7";99404;18.6335;18633458000;0;0;1.06004;1060036000;312.762;3.12762e-07;inf;inf;373151680;192;4800
"Process 1";"Process 8";99404;19.0109;19010938000;1e-06;1000;1.06008;1060080000;976.876;9.76876e-07;2.048e+09;2.048;373151680;192;4800
"Process 1";"Process 2";112364;19.3263;19326311000;1e-06;1000;1.0641;1064103000;3849.25;3.84925e-06;5.12e+09;5.12;1036703680;192;51200
"Process 1";"Process 3";99404;18.4504;18450414000;0;0;1.0641;1064101000;3849.26;3.84926e-06;inf;inf;373151680;192;4800
"Process 1";"Process 4";99404;18.6763;18676316000;0;0;1.07946;1079456000;3794.5;3.7945e-06;inf;inf;373151680;192;4800
"Process 1";"Process 5";99404;18.3423;18342286000;0;0;1.0641;1064101000;312.762;3.12762e-07;inf;inf;373151680;192;4800
"Process 1";"Process 6";99404;18.0562;18056205000;0;0;1.06414;1064142000;312.76;3.1276e-07;inf;inf;373151680;192;4800
